,impressions_value,impressions_end_time,reach_value,reach_end_time
0,14423,2022-01-30T08:00:00+0000,4165,2022-01-30T08:00:00+0000
1,9901,2022-01-31T08:00:00+0000,4235,2022-01-31T08:00:00+0000
2,10860,2022-02-01T08:00:00+0000,5858,2022-02-01T08:00:00+0000
3,14723,2022-02-02T08:00:00+0000,4291,2022-02-02T08:00:00+0000
4,12880,2022-02-03T08:00:00+0000,3770,2022-02-03T08:00:00+0000
5,11571,2022-02-04T08:00:00+0000,3250,2022-02-04T08:00:00+0000
6,14352,2022-02-05T08:00:00+0000,3893,2022-02-05T08:00:00+0000
7,16857,2022-02-06T08:00:00+0000,5418,2022-02-06T08:00:00+0000
8,23753,2022-02-07T08:00:00+0000,4902,2022-02-07T08:00:00+0000
9,13704,2022-02-08T08:00:00+0000,4211,2022-02-08T08:00:00+0000
10,14046,2022-02-09T08:00:00+0000,3802,2022-02-09T08:00:00+0000
11,11975,2022-02-10T08:00:00+0000,4357,2022-02-10T08:00:00+0000
12,34141,2022-02-11T08:00:00+0000,5731,2022-02-11T08:00:00+0000
13,28426,2022-02-12T08:00:00+0000,6747,2022-02-12T08:00:00+0000
14,20602,2022-02-13T08:00:00+0000,7733,2022-02-13T08:00:00+0000
15,14177,2022-02-14T08:00:00+0000,6882,2022-02-14T08:00:00+0000
16,20734,2022-02-15T08:00:00+0000,7833,2022-02-15T08:00:00+0000
17,16819,2022-02-16T08:00:00+0000,5651,2022-02-16T08:00:00+0000
18,21281,2022-02-17T08:00:00+0000,7188,2022-02-17T08:00:00+0000
19,13325,2022-02-18T08:00:00+0000,6072,2022-02-18T08:00:00+0000
20,10485,2022-02-19T08:00:00+0000,5359,2022-02-19T08:00:00+0000
21,15431,2022-02-20T08:00:00+0000,7075,2022-02-20T08:00:00+0000
22,22782,2022-02-21T08:00:00+0000,6591,2022-02-21T08:00:00+0000
23,14886,2022-02-22T08:00:00+0000,4142,2022-02-22T08:00:00+0000
24,13096,2022-02-23T08:00:00+0000,4275,2022-02-23T08:00:00+0000
25,11313,2022-02-24T08:00:00+0000,3702,2022-02-24T08:00:00+0000
26,16597,2022-02-25T08:00:00+0000,4090,2022-02-25T08:00:00+0000
27,11575,2022-02-26T08:00:00+0000,4551,2022-02-26T08:00:00+0000
28,15124,2022-02-27T08:00:00+0000,6187,2022-02-27T08:00:00+0000
29,16119,2022-02-28T08:00:00+0000,5880,2022-02-28T08:00:00+0000
30,15874,2022-03-01T08:00:00+0000,5209,2022-03-01T08:00:00+0000
31,13059,2021-12-31T08:00:00+0000,1974,2021-12-31T08:00:00+0000
32,5812,2022-01-01T08:00:00+0000,2313,2022-01-01T08:00:00+0000
33,15904,2022-01-02T08:00:00+0000,2411,2022-01-02T08:00:00+0000
34,5100,2022-01-03T08:00:00+0000,2155,2022-01-03T08:00:00+0000
35,772,2022-01-04T08:00:00+0000,395,2022-01-04T08:00:00+0000
36,19398,2022-01-05T08:00:00+0000,6269,2022-01-05T08:00:00+0000
37,16221,2022-01-06T08:00:00+0000,5307,2022-01-06T08:00:00+0000
38,15979,2022-01-07T08:00:00+0000,6946,2022-01-07T08:00:00+0000
39,27658,2022-01-08T08:00:00+0000,6377,2022-01-08T08:00:00+0000
40,15771,2022-01-09T08:00:00+0000,5964,2022-01-09T08:00:00+0000
41,18502,2022-01-10T08:00:00+0000,3827,2022-01-10T08:00:00+0000
42,25521,2022-01-11T08:00:00+0000,6218,2022-01-11T08:00:00+0000
43,11661,2022-01-12T08:00:00+0000,4340,2022-01-12T08:00:00+0000
44,14929,2022-01-13T08:00:00+0000,4496,2022-01-13T08:00:00+0000
45,11856,2022-01-14T08:00:00+0000,4597,2022-01-14T08:00:00+0000
46,9036,2022-01-15T08:00:00+0000,4460,2022-01-15T08:00:00+0000
47,13145,2022-01-16T08:00:00+0000,5147,2022-01-16T08:00:00+0000
48,19278,2022-01-17T08:00:00+0000,5172,2022-01-17T08:00:00+0000
49,12036,2022-01-18T08:00:00+0000,4795,2022-01-18T08:00:00+0000
50,15421,2022-01-19T08:00:00+0000,4299,2022-01-19T08:00:00+0000
51,13595,2022-01-20T08:00:00+0000,4315,2022-01-20T08:00:00+0000
52,10744,2022-01-21T08:00:00+0000,2980,2022-01-21T08:00:00+0000
53,8565,2022-01-22T08:00:00+0000,4551,2022-01-22T08:00:00+0000
54,9408,2022-01-23T08:00:00+0000,4924,2022-01-23T08:00:00+0000
55,22773,2022-01-24T08:00:00+0000,4664,2022-01-24T08:00:00+0000
56,13372,2022-01-25T08:00:00+0000,4399,2022-01-25T08:00:00+0000
57,7068,2022-01-26T08:00:00+0000,2335,2022-01-26T08:00:00+0000
58,11567,2022-01-27T08:00:00+0000,5746,2022-01-27T08:00:00+0000
59,8563,2022-01-28T08:00:00+0000,3618,2022-01-28T08:00:00+0000
60,20205,2022-01-29T08:00:00+0000,3702,2022-01-29T08:00:00+0000
61,11980,2021-12-01T08:00:00+0000,1341,2021-12-01T08:00:00+0000
62,10926,2021-12-02T08:00:00+0000,2181,2021-12-02T08:00:00+0000
63,11902,2021-12-03T08:00:00+0000,2113,2021-12-03T08:00:00+0000
64,10177,2021-12-04T08:00:00+0000,1850,2021-12-04T08:00:00+0000
65,7965,2021-12-05T08:00:00+0000,1684,2021-12-05T08:00:00+0000
66,11369,2021-12-06T08:00:00+0000,1920,2021-12-06T08:00:00+0000
67,7574,2021-12-07T08:00:00+0000,1420,2021-12-07T08:00:00+0000
68,8363,2021-12-08T08:00:00+0000,1326,2021-12-08T08:00:00+0000
69,12225,2021-12-09T08:00:00+0000,1392,2021-12-09T08:00:00+0000
70,7731,2021-12-10T08:00:00+0000,1571,2021-12-10T08:00:00+0000
71,3664,2021-12-11T08:00:00+0000,1364,2021-12-11T08:00:00+0000
72,9201,2021-12-12T08:00:00+0000,1448,2021-12-12T08:00:00+0000
73,11394,2021-12-13T08:00:00+0000,1460,2021-12-13T08:00:00+0000
74,7647,2021-12-14T08:00:00+0000,1870,2021-12-14T08:00:00+0000
75,8820,2021-12-15T08:00:00+0000,1422,2021-12-15T08:00:00+0000
76,5404,2021-12-16T08:00:00+0000,1865,2021-12-16T08:00:00+0000
77,3703,2021-12-17T08:00:00+0000,1115,2021-12-17T08:00:00+0000
78,11323,2021-12-18T08:00:00+0000,3854,2021-12-18T08:00:00+0000
79,9801,2021-12-19T08:00:00+0000,2270,2021-12-19T08:00:00+0000
80,7951,2021-12-20T08:00:00+0000,2052,2021-12-20T08:00:00+0000
81,9520,2021-12-21T08:00:00+0000,2088,2021-12-21T08:00:00+0000
82,15276,2021-12-22T08:00:00+0000,2570,2021-12-22T08:00:00+0000
83,8259,2021-12-23T08:00:00+0000,1704,2021-12-23T08:00:00+0000
84,6765,2021-12-24T08:00:00+0000,2335,2021-12-24T08:00:00+0000
85,4179,2021-12-25T08:00:00+0000,1742,2021-12-25T08:00:00+0000
86,14075,2021-12-26T08:00:00+0000,3173,2021-12-26T08:00:00+0000
87,23152,2021-12-27T08:00:00+0000,2925,2021-12-27T08:00:00+0000
88,14125,2021-12-28T08:00:00+0000,2761,2021-12-28T08:00:00+0000
89,15145,2021-12-29T08:00:00+0000,2518,2021-12-29T08:00:00+0000
90,16960,2021-12-30T08:00:00+0000,2693,2021-12-30T08:00:00+0000
91,14104,2021-11-02T07:00:00+0000,1526,2021-11-02T07:00:00+0000
92,14499,2021-11-03T07:00:00+0000,1673,2021-11-03T07:00:00+0000
93,12870,2021-11-04T07:00:00+0000,2598,2021-11-04T07:00:00+0000
94,5819,2021-11-05T07:00:00+0000,1164,2021-11-05T07:00:00+0000
95,8946,2021-11-06T07:00:00+0000,1376,2021-11-06T07:00:00+0000
96,10615,2021-11-07T07:00:00+0000,1847,2021-11-07T07:00:00+0000
97,12504,2021-11-08T08:00:00+0000,2115,2021-11-08T08:00:00+0000
98,14575,2021-11-09T08:00:00+0000,1985,2021-11-09T08:00:00+0000
99,11009,2021-11-10T08:00:00+0000,1436,2021-11-10T08:00:00+0000
100,5458,2021-11-11T08:00:00+0000,1782,2021-11-11T08:00:00+0000
101,10031,2021-11-12T08:00:00+0000,1290,2021-11-12T08:00:00+0000
102,7929,2021-11-13T08:00:00+0000,2149,2021-11-13T08:00:00+0000
103,2849,2021-11-14T08:00:00+0000,896,2021-11-14T08:00:00+0000
104,6183,2021-11-15T08:00:00+0000,1258,2021-11-15T08:00:00+0000
105,9589,2021-11-16T08:00:00+0000,1083,2021-11-16T08:00:00+0000
106,7937,2021-11-17T08:00:00+0000,1279,2021-11-17T08:00:00+0000
107,8958,2021-11-18T08:00:00+0000,1539,2021-11-18T08:00:00+0000
108,8476,2021-11-19T08:00:00+0000,1242,2021-11-19T08:00:00+0000
109,5825,2021-11-20T08:00:00+0000,1117,2021-11-20T08:00:00+0000
110,8735,2021-11-21T08:00:00+0000,1652,2021-11-21T08:00:00+0000
111,10344,2021-11-22T08:00:00+0000,1394,2021-11-22T08:00:00+0000
112,10499,2021-11-23T08:00:00+0000,2937,2021-11-23T08:00:00+0000
113,10624,2021-11-24T08:00:00+0000,1366,2021-11-24T08:00:00+0000
114,7381,2021-11-25T08:00:00+0000,1474,2021-11-25T08:00:00+0000
115,4741,2021-11-26T08:00:00+0000,1053,2021-11-26T08:00:00+0000
116,6647,2021-11-27T08:00:00+0000,1088,2021-11-27T08:00:00+0000
117,12490,2021-11-28T08:00:00+0000,1650,2021-11-28T08:00:00+0000
118,12640,2021-11-29T08:00:00+0000,2663,2021-11-29T08:00:00+0000
119,9099,2021-11-30T08:00:00+0000,1434,2021-11-30T08:00:00+0000
